12 66
v0 v1 14.35
v0 v2 19.4
v0 v3 18.85
v0 v4 3.75
v0 v5 14.14
v0 v6 8.08
v0 v7 9.6
v0 v8 1.85
v0 v9 19.64
v0 v10 8.33
v0 v11 13.24
v1 v2 14.37
v1 v3 4.15
v1 v4 2.34
v1 v5 16.59
v1 v6 16.77
v1 v7 19.72
v1 v8 15.64
v1 v9 19.07
v1 v10 16.82
v1 v11 2.88
v2 v3 14.43
v2 v4 7.03
v2 v5 7.5
v2 v6 17.39
v2 v7 9.67
v2 v8 14.01
v2 v9 18.73
v2 v10 18.12
v2 v11 6.86
v3 v4 7.91
v3 v5 9.06
v3 v6 1.25
v3 v7 11.18
v3 v8 8.11
v3 v9 1.42
v3 v10 14.4
v3 v11 12.57
v4 v5 18.29
v4 v6 14.42
v4 v7 15.13
v4 v8 8.52
v4 v9 9.27
v4 v10 18.98
v4 v11 13.9
v5 v6 12.67
v5 v7 5.47
v5 v8 17.64
v5 v9 18.5
v5 v10 3.96
v5 v11 3.62
v6 v7 10.1
v6 v8 4.38
v6 v9 12.31
v6 v10 4.54
v6 v11 9.83
v7 v8 12.49
v7 v9 7.04
v7 v10 5.74
v7 v11 10.42
v8 v9 17.57
v8 v10 1.72
v8 v11 13.0
v9 v10 15.83
v9 v11 3.03
v10 v11 9.64
